query_id,category,#gold,N_precision@30,N_ndcg@30,N_recall@30,T_precision@30,T_ndcg@30,T_recall@30,I_precision@30,I_ndcg@30,I_recall@30,F_precision@30,F_ndcg@30,F_recall@30
B095NYQZ3D,bra,3,0.03333333333333333,0.5,0.3333333333333333,0.1,0.8826803184943108,1.0,0.1,1.0,1.0,0.1,1.0,1.0
B00WGU7ASW,belt,9,0.16666666666666666,0.8870371461184904,0.5555555555555556,0.26666666666666666,0.9532708796093367,0.8888888888888888,0.3,0.9971876401972103,1.0,0.3,1.0,1.0
B07GVG5QBZ,hoodie,4,0.06666666666666667,0.8175295903539445,0.5,0.1,0.8026120593560898,0.75,0.06666666666666667,0.8315546295836225,0.5,0.13333333333333333,0.8320963840786656,1.0
B0895DP1BJ,skincare,37,0.1,0.8651978339665131,0.08108108108108109,0.3,0.943699953108798,0.24324324324324326,0.6666666666666666,0.941024031193175,0.5405405405405406,0.4666666666666667,0.9280097212005867,0.3783783783783784
B075CK1F37,cardigan,5,0.1,0.9010126104210695,0.6,0.1,0.41250250959343226,0.6,0.16666666666666666,0.8861022662921658,1.0,0.16666666666666666,0.8115009231183945,1.0
B07GRYVQPK,knob,10,0.23333333333333334,0.6524940941335449,0.7,0.26666666666666666,0.9866407447105281,0.8,0.3333333333333333,0.9698905029364279,1.0,0.3333333333333333,0.9769594934663544,1.0
B07HH458B6,hair_extensions,56,0.7333333333333333,0.9751661753321585,0.39285714285714285,0.4666666666666667,0.9143737860093751,0.25,0.8,0.9888125346678623,0.42857142857142855,0.6666666666666666,0.9474565076119195,0.35714285714285715
B08CGWHCNN,cosmetic,12,0.03333333333333333,0.25,0.08333333333333333,0.06666666666666667,0.3889580943680543,0.16666666666666666,0.13333333333333333,0.6173712503431843,0.3333333333333333,0.13333333333333333,0.51171170437928,0.3333333333333333
B07FNSTXCM,stove,5,0.1,0.7441366983380826,0.6,0.06666666666666667,0.38162168437253385,0.4,0.13333333333333333,0.6004696855059581,0.8,0.1,0.500169791634947,0.6
B0017SJOPG,washing_machine,3,0.06666666666666667,0.29515570005735875,0.6666666666666666,0.06666666666666667,0.5012658353418871,0.6666666666666666,0.1,0.8921776538210152,1.0,0.1,0.9010126104210695,1.0
B00XPZ5QXS,necklace,9,0.06666666666666667,0.45749452618986164,0.2222222222222222,0.16666666666666666,0.6818860487412746,0.5555555555555556,0.23333333333333334,0.7519335576672018,0.7777777777777778,0.3,0.7871756580717998,1.0
B09B9NFFSM,toothbrush,4,0.06666666666666667,0.3580028106829147,0.5,0.0,0.0,0.0,0.03333333333333333,0.3562071871080222,0.25,0.03333333333333333,0.3562071871080222,0.25
B08778RT77,ice maker,12,0.36666666666666664,0.71939009717717,0.9166666666666666,0.3333333333333333,0.7681995781409475,0.8333333333333334,0.26666666666666666,0.971261714948811,0.6666666666666666,0.36666666666666664,0.9224811548944415,0.9166666666666666
B08P83SKK6,shoes,10,0.03333333333333333,0.21533827903669653,0.1,0.06666666666666667,0.5,0.2,0.1,0.321512719551145,0.3,0.1,0.4742763095285738,0.3
B00ZGYTTNE,cosmetic,12,0.03333333333333333,0.6309297535714575,0.08333333333333333,0.03333333333333333,0.24465054211822604,0.08333333333333333,0.13333333333333333,0.6892517976713222,0.3333333333333333,0.13333333333333333,0.3525684801070926,0.3333333333333333
B01D86KD6I,lipstick,13,0.1,0.8854598815714874,0.23076923076923078,0.3333333333333333,0.9065434028418382,0.7692307692307693,0.4,0.8589132110088287,0.9230769230769231,0.36666666666666664,0.9616091089626356,0.8461538461538461
B08DRX8MZ7,shampoo,5,0.03333333333333333,0.27023815442731974,0.2,0.1,0.45837078548602445,0.6,0.16666666666666666,0.886485219496592,1.0,0.16666666666666666,0.6710350631449844,1.0
B07BXHZLV4,hair accessory,11,0.03333333333333333,0.23540891336663824,0.09090909090909091,0.06666666666666667,0.4315299574057775,0.18181818181818182,0.03333333333333333,0.43067655807339306,0.09090909090909091,0.03333333333333333,0.6309297535714575,0.09090909090909091
B071GQQ18G,sunglasses,6,0.06666666666666667,1.0,0.3333333333333333,0.2,0.7982650576674577,1.0,0.2,0.9930783166417602,1.0,0.2,1.0,1.0
B003GV3TKS,refrigerator,8,0.16666666666666666,0.9437712815092216,0.625,0.06666666666666667,1.0,0.25,0.26666666666666666,0.9866407447105281,1.0,0.06666666666666667,1.0,0.25
B09MLFPPT4,wig,28,0.5666666666666667,0.9413145352787899,0.6071428571428571,0.06666666666666667,0.3377667179999921,0.07142857142857142,0.36666666666666664,0.9294143449875273,0.39285714285714285,0.5,0.9246014537990875,0.5357142857142857
B08PNJQZ5Y,refrigerator water filter,11,0.26666666666666666,0.6231726139622155,0.7272727272727273,0.3,0.6835755318200167,0.8181818181818182,0.36666666666666664,0.6906882478562795,1.0,0.3,0.6555074477196876,0.8181818181818182
